item,itemcate,itemprice
vq12503,雑貨,28100
dh12504,衣料,21300
qj12505,食品,11900
ei12506,雑貨,21900
sz12507,雑貨,21800
mf12508,家具,17900
ik12509,家具,15500
hk12510,雑貨,24800
de12511,本,906
qq12512,本,2246
vt12513,家電,22800
rj12514,家具,17300
ps12515,家具,29500
jd12516,食品,10100
pw12517,本,1210
oh12518,本,2147
iv12519,本,1604
yr12520,食品,9100
ai12521,食品,3200
ly12522,家電,7900
st12523,家電,18700
ur12524,家電,19300
mn12525,本,732
ox12526,家電,16800
my12527,食品,23500
jj12528,家具,28100
yn12529,食品,23700
lu12530,衣料,17200
om12531,食品,25000
ae12532,衣料,12500
gx12533,衣料,7700
ib12534,本,869
bt12535,食品,14000
xt12536,衣料,6400
kn12537,本,1803
hu12538,家電,25900
dq12539,衣料,13700
xk12540,食品,5600
ai12541,衣料,1200
yb12542,本,977
ug12543,家具,10500
gd12544,食品,22100
oy12545,家電,16300
yk12546,家電,9400
aj12547,本,616
lm12548,家具,14200
cy12549,食品,22700
wp12550,家具,9400
em12551,家電,29000
dk12552,家電,12300
sn12553,家電,23900
et12554,家具,28600
jv12555,衣料,28500
ob12556,家具,29500
vl12557,雑貨,9300
ko12558,家具,18400
mz12559,雑貨,4000
px12560,家電,26000
hk12561,家電,28400
nt12562,本,2490
zz12563,衣料,22600
yk12564,雑貨,24100
el12565,食品,9000
as12566,本,2181
tp12567,雑貨,14900
rj12568,家電,15300
sh12569,本,1783
vv12570,本,1840
tm12571,家電,7300
xa12572,食品,7600
xk12573,食品,26400
kr12574,本,1024
rb12575,本,1934
ek12576,食品,18700
sa12577,衣料,28900
bd12578,衣料,1500
jz12579,食品,13800
ej12580,食品,27300
ey12581,衣料,15500
mj12582,衣料,6700
kk12583,雑貨,14400
yv12584,衣料,12000
cs12585,雑貨,11000
vc12586,雑貨,16500
tn12587,衣料,18400
dp12588,家具,11900
ma12589,衣料,12400
pz12590,家電,18000
kq12591,衣料,18700
ts12592,雑貨,1300
md12593,本,858
mc12594,衣料,26400
tw12595,家電,7100
bb12596,衣料,13400
id12597,食品,8700
xn12598,家電,19300
kw12599,食品,25400
yq12600,本,1724
qc12601,家電,20800
uq12602,食品,27000
ta12603,本,2103
jq12604,本,2167
ji12605,家電,8200
mi12606,本,677
zq12607,家電,4600
bc12608,雑貨,13200
ow12609,家具,11200
ib12610,家電,28800
gl12611,食品,5400
qx12612,家電,8700
ps12613,家具,3500
yk12614,家具,24900
uj12615,雑貨,13600
ch12616,食品,5500
me12617,本,1613
mk12618,衣料,23400
vv12619,家具,17900
nh12620,家電,7600
vg12621,家具,13800
lr12622,家電,2500
ib12623,雑貨,22100
bk12624,本,1058
zv12625,家具,21400
cp12626,食品,23800
bp12627,家具,8900
wq12628,衣料,25400
ux12629,本,2456
um12630,雑貨,6700
wq12631,衣料,16800
yk12632,雑貨,26900
mh12633,衣料,3800
wb12634,家具,14100
au12635,家具,23200
ig12636,家電,1200
yw12637,家電,19800
wg12638,雑貨,19200
gb12639,雑貨,4000
jf12640,家電,25400
ky12641,家具,3300
zq12642,家具,1900
sb12643,食品,10900
je12644,家電,8100
sv12645,食品,11200
kr12646,家電,16700
jb12647,食品,17400
ru12648,食品,13300
ro12649,家電,10700
cq12650,家電,8200
ir12651,食品,7900
sw12652,本,1782
wl12653,家電,13100
av12654,雑貨,15800
wb12655,食品,24500
zp12656,本,2344
xi12657,雑貨,19900
gq12658,衣料,18900
zb12659,家具,4900
ha12660,雑貨,27400
ll12661,本,836
qm12662,雑貨,2400
eo12663,本,1205
dt12664,衣料,12600
qr12665,食品,29900
vl12666,本,1765
iq12667,雑貨,22600
mx12668,家電,22400
pp12669,家具,18800
mv12670,家具,3600
qi12671,雑貨,18900
gy12672,家電,26000
fb12673,家具,18300
bi12674,家電,29000
xa12675,家電,19200
gy12676,本,1925
ye12677,食品,3100
fg12678,食品,28700
qd12679,食品,5800
yi12680,衣料,23800
ti12681,本,1568
zo12682,家具,12900
sr12683,雑貨,17400
fx12684,家電,22300
cg12685,食品,2700
lc12686,本,919
lf12687,雑貨,26500
hm12688,本,1074
yc12689,家具,7800
wr12690,本,1202
jw12691,家電,20400
xf12692,雑貨,10200
sp12693,家電,20500
na12694,衣料,28800
tp12695,家具,28700
cp12696,本,1642
on12697,家電,27300
qy12698,家電,3200
sy12699,本,2371
ec12700,本,1533
ti12701,衣料,23300
pw12702,家具,7700
fk12703,食品,13800
pw12704,衣料,23300
ec12705,雑貨,9600
sg12706,食品,21700
qc12707,雑貨,1500
zz12708,食品,18600
yo12709,食品,9700
bj12710,家具,14500
nh12711,家具,20000
vj12712,本,2013
fa12713,雑貨,7800
gv12714,家電,27500
rj12715,雑貨,1800
si12716,家具,20900
xw12717,食品,6900
jg12718,雑貨,12400
lp12719,雑貨,23700
yj12720,本,2056
ov12721,食品,15400
nj12722,衣料,9000
zz12723,食品,8800
zs12724,家具,11500
cs12725,食品,16000
be12726,家具,25900
yd12727,衣料,22000
ks12728,食品,7800
mm12729,衣料,16300
tl12730,本,1600
xc12731,家具,12100
iw12732,本,1823
bx12733,衣料,4700
lm12734,雑貨,7600
tb12735,食品,26600
je12736,家電,24200
ka12737,家具,24300
bq12738,衣料,14300
np12739,家具,19800
cq12740,家具,3400
se12741,本,1102
vc12742,雑貨,15800
gs12743,家具,7700
wa12744,雑貨,9800
aq12745,家電,27000
us12746,家具,23200
us12747,雑貨,19400
aw12748,家具,10000
ep12749,本,1614
yc12750,食品,2100
cn12751,雑貨,16600
en12752,衣料,19800
br12753,本,2198
gq12754,本,1985
fl12755,食品,28700
am12756,家具,23500
cy12757,衣料,23200
tm12758,家具,24700
sk12759,家具,15000
wp12760,家電,28700
te12761,本,804
vl12762,家具,26900
sd12763,家電,5000
yw12764,衣料,12400
rb12765,本,2098
sw12766,本,1398
ty12767,食品,7900
pt12768,食品,27900
tt12769,衣料,3900
mk12770,家電,22800
cx12771,衣料,5800
wm12772,食品,12400
un12773,家具,21700
bt12774,本,1953
vw12775,食品,24100
nx12776,家電,16800
yd12777,家具,11000
sl12778,本,1850
or12779,家電,18800
lp12780,家電,10600
ad12781,家電,20200
xg12782,雑貨,17000
mi12783,食品,13700
rm12784,本,1507
cv12785,衣料,10600
at12786,食品,6800
xb12787,衣料,20700
jp12788,家電,20500
mh12789,本,1528
lp12790,食品,29700
pb12791,食品,28500
bc12792,雑貨,4000
gx12793,雑貨,4100
tj12794,家具,27900
bo12795,家電,1200
co12796,雑貨,29900
sm12797,衣料,5200
gd12798,家電,2500
dc12799,家具,16900
uo12800,家電,10200
im12801,衣料,26000
be12802,雑貨,28000
fl12803,本,1942
ug12804,食品,27100
ld12805,衣料,7500
aj12806,家具,20900
uz12807,家具,27400
uw12808,家電,22600
zh12809,本,1525
lr12810,雑貨,18800
st12811,家電,11800
dj12812,家具,4300
th12813,食品,29000
ha12814,雑貨,15100
ta12815,家具,10700
eh12816,食品,12800
qf12817,衣料,24700
oo12818,家具,18300
rm12819,家具,28900
lo12820,本,884
dv12821,家具,29500
ju12822,家具,9400
nz12823,雑貨,29300
wz12824,家具,29100
um12825,家電,25300
vb12826,雑貨,7600
cg12827,食品,8300
qw12828,食品,19700
pn12829,本,2076
nt12830,衣料,4200
sp12831,雑貨,18800
jg12832,衣料,13400
nl12833,家電,21400
dh12834,食品,27300
tl12835,食品,23500
ro12836,衣料,23500
wd12837,家電,10300
ec12838,食品,18600
ht12839,本,774
rm12840,本,2459
td12841,食品,11400
rp12842,衣料,5700
il12843,衣料,27300
mk12844,雑貨,20400
yw12845,衣料,12200
sl12846,家電,6700
hk12847,雑貨,10500
vr12848,本,1545
dl12849,家具,17800
cw12850,衣料,14400
qe12851,食品,2400
iv12852,衣料,18600
qf12853,家電,23300
nh12854,衣料,23200
us12855,本,1861
jr12856,食品,10500
hc12857,食品,9000
ak12858,家電,21200
jc12859,家電,5000
wi12860,雑貨,14200
hk12861,衣料,27300
xt12862,家具,24200
na12863,本,785
eq12864,衣料,27500
kv12865,雑貨,3700
sc12866,衣料,5100
iy12867,家電,24400
jy12868,食品,18300
hz12869,食品,27100
vy12870,家電,25500
nn12871,本,1428
ku12872,雑貨,26300
yb12873,家電,22800
db12874,家電,23600
lk12875,本,1636
sc12876,家電,16500
kn12877,本,1701
sv12878,家具,29800
lv12879,衣料,27700
wa12880,本,1594
fp12881,本,2231
iz12882,衣料,25900
dt12883,本,1222
jt12884,本,2260
ao12885,本,1251
dv12886,食品,25600
el12887,本,1224
jq12888,雑貨,11300
tp12889,家具,11000
wr12890,本,1416
yn12891,家具,21200
li12892,家電,21400
pt12893,本,2396
kr12894,本,1501
us12895,本,1900
nv12896,家具,27800
vy12897,衣料,14200
rk12898,家具,6700
jl12899,雑貨,13500
zg12900,食品,23400
ok12901,本,2393
cv12902,家具,17800
uz12903,雑貨,21400
ai12904,衣料,6800
yb12905,本,716
ow12906,家具,5400
bu12907,食品,29900
nl12908,衣料,17400
ul12909,本,1783
se12910,雑貨,6700
ib12911,家具,5500
sf12912,本,1829
kc12913,家具,10500
df12914,家具,4000
ix12915,家具,13500
qt12916,本,868
dg12917,家電,5100
je12918,本,1932
ag12919,家具,28100
kg12920,家具,16800
bf12921,家電,5100
cb12922,衣料,6900
if12923,衣料,2500
sy12924,雑貨,14600
gn12925,家電,20400
cg12926,本,1402
wh12927,家具,20100
ty12928,衣料,29700
qp12929,衣料,3900
wm12930,雑貨,20900
cz12931,食品,12900
yh12932,本,1458
ir12933,家電,19900
hc12934,家電,3100
ge12935,家具,16900
kh12936,衣料,20000
ng12937,本,1014
ik12938,衣料,7900
py12939,食品,12900
ow12940,家電,7000
yl12941,衣料,4500
gw12942,食品,14100
lr12943,本,709
wq12944,雑貨,15900
ok12945,家電,4900
gr12946,衣料,28000
zz12947,食品,29400
ha12948,家電,13300
xb12949,食品,21500
hm12950,衣料,7900
dq12951,雑貨,19600
bk12952,家電,22300
tp12953,衣料,10000
wd12954,家具,5800
cy12955,雑貨,19400
lp12956,家具,27700
mp12957,衣料,17400
pr12958,雑貨,23200
pm12959,家具,13600
wj12960,食品,21700
qu12961,本,1166
so12962,本,2091
vs12963,食品,6800
nc12964,家具,10000
px12965,家電,18400
eg12966,本,729
st12967,雑貨,24800
np12968,家電,2500
of12969,家具,20000
vt12970,雑貨,22900
oh12971,本,1241
ob12972,食品,6100
hi12973,雑貨,8700
fa12974,食品,3400
mm12975,雑貨,28600
qn12976,家電,5100
yg12977,衣料,25300
ol12978,家具,21700
vn12979,食品,24300
ty12980,衣料,28300
vb12981,家具,21600
fe12982,家具,7300
sj12983,雑貨,25200
ys12984,雑貨,11300
ip12985,家電,25300
cu12986,家電,17100
fi12987,衣料,28100
mz12988,雑貨,27600
yh12989,本,2000
kr12990,本,1315
sp12991,雑貨,10400
av12992,家電,2700
qi12993,本,2168
po12994,家電,20700
xz12995,家具,3500
rl12996,食品,28100
hk12997,雑貨,18400
rj12998,本,2036
xj12999,本,889
aj13000,本,652
gs13000,雑貨,11500
